,job,desc
10,"автоэлектрик
","Автоэлектрик - специалист по электрооборудованию автомобиля. Основная работа заключается в диагностике и ремонте электрических систем, включая фары, генератор, световые приборы и другие системы.

Важными качествами кандидата на такую работу являются:

* Налаженный механический склад ума
* Умение работать с различной электроаппаратурой
* Готовность к физическому труду

Ключевые навыки: диагностические и ремонтные навыки, умение пользоваться приборами и инструментами.

Опыт работы в 3-5 лет в автомобильных электростанциях или автосервисах желателен."
11,"агент
","Агент работает с клиентами, предоставляя им информацию и услуги. Важны такие качества как коммуникабельность, внимательность и честность.

Ключевые навыки:

* Общение с людьми
* Умение слушать
* Навыки продаж
* Знание местного законодательства

Опыт работы: не менее 1 года в сфере услуг или продаж."
12,"агент банка
","Агент банка interacts с клиентами, обслуживая их финансовые потребности. Ключевые качества: коммуникабельность, внимательность и терпимость к давлению.

Кандидат должен:

* иметь навыки продажи и консультирования
* быть компетентным в банковской продукции и сервисах
* обладать навыками общения с клиентами по телефону и лично

Должен иметь опыт работы в сфере финансов или обслуживания клиентов не менее 1-2 лет."
13,"агент железнодорожный
","Работник железнодорожный обслуживает пассажиров и багаж на поездах, обеспечивает их безопасность. Важны внимательность, способность решать проблемы под давлением и работать в команде.

Ключевые навыки:

* Ориентация в расписании движения поездов
* Умение общаться с людьми разного возраста и наций
* Способность оставаться спокойным в стрессовых ситуациях

Опыт работы у кандидата не требуется, но желательно иметь опыт работы в сфере обслуживания."
14,"агент коммерческий
","Работа агент коммерческий включает в себя поиск, заключение и сопровождение сделок с целью увеличения продаж компании. Ключевые навыки: навыки общения, продавец, аналитик, организатор.

Для работы у кандидата должен быть опыт продажи на уровне Junior или среднего менеджера (3-5 лет), а также знание продуктов компании и рынка."
15,"агент морской
","Агент морской - специалист по организации и координации перевозок морских судов. Основные обязанности:

* Координирование расписаний и графиков доставки грузов;
* Сопровождение судна от отправления до прибытия в порт;
* Обеспечение соблюдения правил безопасности;
* Работа с документами (договоры, накладные, талончики);
* Взаимодействие с командой судна и другими заинтересованными сторонами.

Ключевые навыки:

* Стратегическое мышление и организаторские способности;
* Контроль времени и графиков;
* Умение работать под давлением.
Опыт работы не менее 2 лет в логистике или морском транспорте."
16,"агент по доставке заказанных билетов
","Работник по доставке заказанных билетов обеспечивает их получателям. Кандидат на эту работу должен быть пунктильным, иметь навыки общения и уметь работать в сжатые сроки. Понимание транспортной инфраструктуры также важно. Опыт работы в логистике или аналогичных ролях желателен."
17,"агент по заказам населения на перевозку
","Агент по заказам населения на перевозку обеспечивает безопасное и комфортное перемещение пассажиров. Важны качества тактичного общения, внимательности и организованности.

Ключевые навыки:

* Рассчитывать рутину поездок и расписаний;
* Обрабатывать запросы и оплату перевозок;
* Уважать сроки и требования клиентов;
* Обеспечивать безопасность и комфорт пассажиров;

Рекомендуется опыт работы в транспортной отрасли или аналогичных областях."
18,"агент по закупкам
","Агент по закупкам ответственен за закупку товаров и услуг для компании. Ключевые качества: организованность, коммуникативность, аналитические навыки и внимание к деталям.

Важные навыки:

* Определение потребностей и бюджета заказчика
* Подбор поставщиков и определение цены
* Контроль сроков и стоимости проекта

Опыт работы 3-5 лет в сфере закупок или логистики."
19,"агент по организации обслуживания пассажирских авиаперевозок
","Агент по организации обслуживания пассажирских авиаперевозок занимается планированием и координацией полетов, бронированием мест, организацией сервиса на борту. Кандидат должен обладать коммуникабельностью, внимательностью и способностью решать проблемы быстро. Для этой работы важны навыки общения с людьми, умение работать в команде и использовать информационные технологии (например, системы бронирования). Опыт работы в сфере авиатранспортной отрасли желателен, но не обязательен."
20,"агент по приему заказов на билеты
","Агент по приему заказов на билеты обеспечивает продажу и обслуживание пассажиров в транспорте. Кандидат должен обладать:
- коммуникативными способностями
- навыками работы с платежной системой
- внимательностью к клиентам.
Навыки: оперативное решительное принятие решений, адаптируемость, быстрое обучение.
Опыт работы в сфере обслуживания и продаж."
21,"агент по продаже недвижимости
","Агент по продаже недвижимости помогает клиентам найти подходящее имущество, сопоставляет его цены и ведет переговоры с продавцами. Важными качествами кандидата являются коммуникативность, этичность, организованность и умение решать конфликты.

Ключевыми навыками агента по продаже недвижимости являются:

* Понимание рынка недвижимости
* Умение общаться с клиентами
* Хорошие навыки переговоров
* Организованная работа и стрессоустойчивость

Опыт работы у агента по продаже недвижимости должен быть не менее 2-3 лет в сфере недвижимости или аналогичной области."
22,"агент по розыску груза и багажа
","Агент по розыску груза и багажа следит за транспортировкой и хранением багажных сумок в аэропорту или порту. Это ответственное лицо, которое гарантирует безопасность и точный возврат багажа пассажирам.

Ключевые навыки:

*   Аналитическое мышление
*   Умение работать под давлением
*   Ориентация на результат

Опыт работы не ниже 2 лет в сфере логистики или аэропортовой безопасности."
23,"агент по розыску грузов и багажа
","Агент по розыску грузов и багажа осуществляет поиск пропавших или задержанных грузов и багажа на транспорте. Важны коммуникативные навыки, терпение и способность работать под давлением. Обязанности включают в себя опрос пассажиров и экипажа, осмотр мест происшествия и анализ информации. Ключевые навыки: рассеянность, критическое мышление и организаторские навыки. Стаж работы на позиции аэропортовой или портовой службы желателен."
24,"агент по сбыту электроэнергии
","Агент по сбыту электроэнергии продвигает продажи энергоресурсов компании. Важными качествами являются коммуникативные способности, навыки работы в команде и приверженность достижению целей. Ключевыми навыками: продажи, деловая переписка, навыки переговоров, анализ данных.

Опыт работы - минимум 1-2 года в сфере продаж или маркетинга."
25,"агент по сбыту энергии
","Работа агента по сбыту энергии включает в себя продвижение и продажу электроэнергии потребителям. Кандидат на такую работу должен обладать навыками общения, анализа рынка и конкурентов, а также умением работать под 압икусом.

Важны: коммуникабельность, способность решать проблемы, гибкость и организация.

Обязательные навыки: продажа, маркетинг, анализ данных и этические стандарты.

Предполагаемый опыт работы: не менее 2 лет в сфере коммерции или энергетики."
26,"агент по снабжению
","Агент по снабжению обеспечивает поставки материальных ресурсов для бизнеса. Ключевые навыки:

* Координация и планирование закупок
* Взаимодействие с поставщиками и логистиками
* Управление бюджетом и счетами

Важны коммуникативные навыки, способность решать проблемы и работать в команде. Опыт работы 2-3 года в аналогичной роли или в логистическом подразделении."
27,"агент по туризму
","Агент по туризму путешествует, организуя экскурсии и отдых для клиентов. Важны коммуникативные качества, навыки общения с людьми разных национальностей и возрастных групп, а также умение решать проблемы в непредвиденных ситуациях.

Ключевые навыки: языковые знания (английский), организаторские способности, внимательность и доброжелательность.

Требуемый опыт работы: 1-3 года в сфере гостеприимства или туризма."
28,"агент рекламный
","Работник рекламной службы (агент рекламный) разрабатывает и реализует рекламные кампании для фирм. Важны коммуникабельность, креативность и аналитические навыки.

Ключевыми навыками являются:

*   Создание эффективных рекламных стратегий
*   Управление бюджетом и ресурсами
*   Работа с командой дизайнеров и копирайтеров

Навыки работы в этой области требуют опыта в маркетинге и рекламе."
29,"агент системы фирменного транспортного обслуживания
","Агент фирменного транспортного обслуживания отвечает за предоставление услуг по перевозке пассажиров и грузов. Для этой работы важны такие качества как внимательность, коммуникативность и организованность. Кандидат должен обладать навыками в плане работы с людьми, решении проблем и временемmanagement'ом. Опыт работы на аналогичной должности или в сфере логистики желателен."
30,"агент страховой
","Агент страховой помогает клиентам выбрать и купить страховое покрытие, а также обслуживает существующие договоры. К важным качествам относятся:

* Высокий уровень знаний в области страхования
* Хорошие навыки общения и продажи
* Аналитическое мышление для оценки рисков клиентов

Навыками агента страхового должны быть:

* Продавческая способность
* Умение слушать и анализировать потребности клиентов
* Понимание условий страховых договоров

Опыт работы: обычно 1-3 года в сфере финансов или страхования."
31,"агент торговый
","Агент торговый — специалист по продаже товаров и услуг. Для этого рода деятельности важны такие качества, как коммуникабельность, работоспособность и навыки переговоров.

Ключевые навыки агента торгового включают:

* Умение взаимодействовать с клиентами
* Понимание потребностей покупателей
* Умение представлять товары и услуги

Ожидаемый опыт работы: 1-3 года в сфере продаж."
32,"агломератчик
","Агломератчик Responsible за приготовление и перемешивание сырья, а также формирование агломерата.

Для этой работы важны:

* Практический опыт в промышленности
* Умение работать с различными материалами
* Хорошее зрение и внимание к деталям

Ключевыми навыками являются:
- Оперативное мышление
- Умение работать в команде.

Опыт работы: 2 года в агломерационной промышленности."
33,"агрометеоролог
","Агрометеоролог — специалист по изучению и прогнозированию погодных условий на основе их влияния на сельское хозяйство. Он должен знать метеорологические принципы, агрономию и опыт в сельском хозяйстве.

Ключевые навыки: 

*   профессиональное образование по метеорологии или аэрокосмическим наукам
*   опыт работы в метеорологии или аэрокосмических службах
*   знание языков, связанных с метеорологией (русский)
*   умение работать в команде и подчиняться руководству.

Ограничения: отсутствие физической возможности работы.
Также необходимо иметь опыт в работе на базовом уровне в сельском хозяйстве."
34,"агроном
","Агроном - специалист по агротехнике, занимающийся производством и переработкой сельскохозяйственной продукции. Ключевые навыки:

* глубокое знание растений и почвы
* умение анализировать данные и принимать обоснованные решения
* организационные способности и коммуникативность

Опыт работы от 3-5 лет в сфере сельского хозяйства или научных исследованиях."
35,"агрохимик
","Кандидат, который хочет работать агрохимиком, должен иметь базовое образование в области сельского хозяйства или биологии. Важными качествами для такого профессионала являются:

* Общая знания по химии и биологии
* Умение проводить лабораторные анализы и эксперименты
* Понимание агрономических технологий и их взаимодействия с окружающей средой

Опыт работы в 2-3 годах в сельскохозяйственной или химической промышленности необходим."
36,"адвокат
","Адвокат - профессионал, защитящий права и интересы физических или юридических лиц. Важны:

* Объективность и нюансность мышления
* Стратегическое и логическое мышление
* Крепкие навыки анализа и критическогоthinking
* Высокие коммуникативные навыки

Опыт работы от 5 лет и выше в сфере права, знания законодательства и правовых процедур."
37,"администратор
","Администратор - ответственный за организацию и управление деловыми процессами. Для этого кандидат должен иметь такие качества как:
- организованность
- внимательность
- коммуникативность
Он также должен обладать навыками:
- работы с документами
- анализа ситуации
- принятия решений
Опыт работы от 2 лет и знание МСЭфс."
38,"аккомпаниатор
","Аккомпаниатор - музыкант, который сопровождает исполнительницу или исполнителя на музыкальном инструменте. Основная задача - поддерживать и дополнять голос или инструмента, не привлекая внимание к себе.

Ключевые качества: внимательность, слух, чувство ритма и темпа.

Навыки: играть на одном из основных музыкальных инструментов (фортепиано, гитара и т.п.), читать ноты, чувствовать аккомпанемент.

Опыт работы от 5 лет и более в качестве аккомпаниатора для различных музыкальных жанров."
39,"аккумуляторщик
","Аккумуляторщик - специалист по обслуживанию и замене аккумуляторов автомобилей. Важны навыки работоспособности, внимательности и ответственности. Ключевыми навыками являются умение обращаться с электрооборудованием, знать правила безопасности при работе с батареями, а также понимание принципов работы аккумуляторных систем.

Опыт работы в сфере автомобильного сервиса желателен, но не обязательен. Основное требование - знания и навыки в области электрообеспечения транспортных средств."
40,"акробат
","Акробат - это специалист, выполняющий сложные физические упражнения, такие как прыжки, трюки и позы. Важными качествами в этом профессии являются:
- Хорошие физические данные
- Силовая выносливость
- Координация движений
- Высокая концентрация и внимательность

Ключевые навыки: 
- Способность выполнять сложные трюки с высокими темпами и точностью
- Понимание безопасности и предотвращения травм
Опыт работы в сфере спорта, физической культуры или шоу-бизнеса желателен."
41,"актуарий
","Актуарий - специалист по актуарной математике, который calculates вероятности и риски в страховых компаниях. Ключевые навыки: математическая грамотность, аналитический мышление, умение работать с данными.
Важно уметь рассчитывать сложные статистические модели, а также kommunikieren результаты в простой форме.

Опыт работы на позициях actuary или quant в страховой компании или банке желателен."
42,"актёр
","Актёр - профессионал, который изображает различных персонажей на сцене или в кино. Им требуется высокая актёрская грамотность, способность быстро овладевать текстами и ролями.

Важны:

* Выраженная артистичность
* Способность импровизировать
* Хорошее зрительное и слуховое восприятие
* Умение работать в команде

Необходим опыт работы в театре, на телевидении или в кино."
43,"актёр театра и кино
","Актёр театра и кино исполняет роли в спектаклях и фильмах, создавая образы персонажей. Важны такие качества, как артистизм, выразительность, чувство акцента и пластики. Актёру необходимо уметь импровизировать, разбираться в текстах и ставить эмоции. Опыт работы в театре или киноindustry (фильмовой индустрии) является плюсом."
44,"актёр театра кукол
","Актёр театра кукол создает зрительский опыт, использовая мультимедийные эффекты и игру с куклами. Важны:

* Выразительность
* Игровые навыки
* Общение на сцене
* Экспрессивная игра

Ключевые навыки: пластическое искусство, вокальная техника, акробатика.

Опыт работы в театральных коллективах или школах кукольного искусства."
45,"акушер
","Акушер - медицинский специалист, присутствующий при родах и оказывающий помощь матери и плода. 
Важными качествами кандидата являются:
- комфортабельный контакт с женщиной в критической ситуации;
- умение оставаться спокойным под давлением.
Ключевые навыки: знания анатомии матки, практические навыки оказания помощи при родах. 
Официальный опыт работы - минимум 2 года, опыт работы на акушерском отделении или в больнице."
46,"акушерка
","Акушерка - медицинский работник, занимающийся беременностью и родами. Ключевые качества: эмоциональная устойчивость, навыки общения и терпимость. Обязанности: проведение плановых и нетипичных родов, оказание помощи при вынашивании, наблюдение за здоровьем матери и ребенка.

Навыки: умение остуживать беременных женщин, опыт в осмотре и мониторинге состояния плода. Должен обладать медицинским образованием (акушерство) с 2-3 годами практического опыта работы."
47,"аллерголог
","Аллерголог - врач, специализирующийся на диагностике и лечении аллергических заболеваний. Важными качествами для этой позиции являются:

* Опыт работы в гастроэнтерологии или астме
* Понимание иммунологических принципов и особенностей реакций человека.
Должны уметь собирать и анализировать медицинскую информацию, взаимодействовать с пациентами."
48,"альпинист
","Альпинист - специалист, обслуживающий горные трассы и участвующий в спасательных работах. Важны физическая выносливость, навыки восхождения по скалам и работы на высотах. Кандидат должен обладать навыками ориентирования на карте, умением обращаться с альпинистским снаряжением и оказывать первую помощь при необходимости.

Опыт работы в горной или спасательной области приветствуется, но не обязательно требуется."
49,"аналитик
","Аналитик - специалист, который аназирует и обобщает данные для принятия решений. Важны такие качества как логическое мышление, критическое мышление, внимание к деталям. Ключевые навыки: статистический анализ, умение работать с данными, профессиональный язык Excel.

Уровень опыта не менее 2-3 лет в аналитике или аналогичной роли."
50,"ангобировщик
","Работа ангобировщика включает нанесение тонкого слоя краски или лака на поверхность предметов. Важно быть внимательным, аккуратным и иметь хорошую координацию рук.

Ключевые навыки:

* Умеренное чувство цветового сочетания
* Умение работать с различными материалами
* Внимательность и accuracy

Обязательный опыт работы: минимум 1 год в аналогичной отрасли."
51,"андеррайтер
","АUNDERРАЙТЕР - это финансовый эксперт, подгоняющий ценность эмиссии для привлечения инвесторов. Основное качество кандидата на такую работу - финансовая грамотность и умение анализировать рыночную конъюнктуру.

Ключевые навыки: 

- Опыт работы в области финанс, анализа данных и прогнозирования;
- Умение работать под давлением сроков;
- Открытость для рисков и уместных перестановок при необходимости.

Должный иметь опыт работы на финансовом рынке не менее 3 лет."
52,"андролог
","Андролог - медицинский специалист, занимающийся диагностикой и лечением мужских половых органов. Ключевые навыки:

* Высшее образование по специальности ""лечебное дело"" или аналогичной
* Опыт работы в области урологии или акушерства не менее 5 лет
* Хорошие диагностические и операционные навыки
* Победная коммуникативная способность и эмпатия к пациентам.

Опыт работы в клинике не менее 2 лет."
53,"анестезиолог
","Анестезиолог обеспечивает безопасность и комфорт пациентов во время хирургических, акушерских или другого медицинского вмешательства. Отличительные качества кандидата - осторожное отношение, способность работать под давлением, коммуникативные навыки.

Он должен знать физиологию человека, правила проведения наркозов и мониторинга жизненно важных функций.
Стажировка в анестезиологии от 1-2 лет."
54,"аниматор
","Аниматор (анимеер) - специалист по организации и проведению массовых мероприятий, таких как концерты, шоу, фестивали. Для этой роли важны такие качества как организованность, коммуникативность, внимательность к деталям.

Ключевые навыки: профессиональное общение, времяпрепровождение, лидерство, административные обязанности.

Опыт работы от 1-2 лет в аналогичных проектах или качестве менеджера событий."
55,"анодчик
","Работа анодчика предполагает подготовку поверхности металла к процессам электрохимического обработания (например, оксидирование для защиты от коррозии).

Важные качества:

*   Высокая точность и внимательность
*   Физическая работоспособность
*   Возможность работать в защитном костюме

Навыки: знание процесса анодирования, умение следить за соблюдением техники безопасности.

Опыт работы 1-3 года."
